id,year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit,serial_number,serial_number_1
27,2013,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,139387,DOLLARS(millions),1,1
36,2014,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,141138,DOLLARS(millions),2,2
62,2017,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,3112,DOLLARS(millions),3,3
65,2018,A,"Agriculture, Forestry and Fishing",b_1-5,Total assets,64288,DOLLARS(millions),4,4
99,2021,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,190239,DOLLARS(millions),5,5
246,2016,A,"Agriculture, Forestry and Fishing",c_6-9,Activity unit,2163,COUNT,6,6
381,2020,A,"Agriculture, Forestry and Fishing",c_6-9,Total expenditure,4388,DOLLARS(millions),7,7
413,2012,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,C,DOLLARS(millions),8,8
472,2019,A,"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets,5795,DOLLARS(millions),9,9
514,2013,A,"Agriculture, Forestry and Fishing",a_0,Rolling mean employees,0,COUNT,10,10
649,2017,A,"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid,368,DOLLARS(millions),11,11
756,2017,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,4550,DOLLARS(millions),12,12
786,2021,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,629,DOLLARS(millions),13,13
829,2015,A,"Agriculture, Forestry and Fishing",a_0,"Sales, government funding, grants and subsidies",9285,DOLLARS(millions),14,14
922,2014,B,Mining,d_10-19,Total assets,478,DOLLARS(millions),15,15
954,2017,B,Mining,i_Industry_Total,Total assets,38389,DOLLARS(millions),16,16
975,2020,B,Mining,c_6-9,Total assets,188,DOLLARS(millions),17,17
1041,2016,B,Mining,f_50-99,Total income,1201,DOLLARS(millions),18,18
1083,2021,B,Mining,c_6-9,Total income,109,DOLLARS(millions),19,19
1154,2018,B,Mining,b_1-5,Activity unit,150,COUNT,20,20
1160,2018,B,Mining,h_200+,Activity unit,3,COUNT,21,21
1234,2016,B,Mining,a_0,Total expenditure,1416,DOLLARS(millions),22,22
1276,2020,B,Mining,g_100-199,Total expenditure,1469,DOLLARS(millions),23,23
1315,2014,B,Mining,a_0,Fixed tangible assets,3364,DOLLARS(millions),24,24
1326,2015,B,Mining,c_6-9,Fixed tangible assets,C,DOLLARS(millions),25,25
1423,2015,B,Mining,a_0,Rolling mean employees,0,COUNT,26,26
1440,2016,B,Mining,i_Industry_Total,Rolling mean employees,5151,COUNT,27,27
1531,2016,B,Mining,a_0,Salaries and wages paid,66,DOLLARS(millions),28,28
1540,2017,B,Mining,a_0,Salaries and wages paid,65,DOLLARS(millions),29,29
1552,2018,B,Mining,d_10-19,Salaries and wages paid,38,DOLLARS(millions),30,30
1558,2019,B,Mining,a_0,Salaries and wages paid,71,DOLLARS(millions),31,31
1750,2018,B,Mining,d_10-19,"Sales, government funding, grants and subsidies",182,DOLLARS(millions),32,32
1806,2013,C,Manufacturing,f_50-99,Total assets,7492,DOLLARS(millions),33,33
1837,2017,C,Manufacturing,a_0,Total assets,2263,DOLLARS(millions),34,34
1853,2018,C,Manufacturing,h_200+,Total assets,51038,DOLLARS(millions),35,35
1884,2011,C,Manufacturing,c_6-9,Total income,2184,DOLLARS(millions),36,36
1913,2014,C,Manufacturing,e_20-49,Total income,7958,DOLLARS(millions),37,37
1939,2017,C,Manufacturing,d_10-19,Total income,4773,DOLLARS(millions),38,38
1975,2021,C,Manufacturing,d_10-19,Total income,5711,DOLLARS(millions),39,39
2027,2016,C,Manufacturing,b_1-5,Activity unit,6726,COUNT,40,40
2091,2012,C,Manufacturing,c_6-9,Total expenditure,2146,DOLLARS(millions),41,41
2095,2012,C,Manufacturing,g_100-199,Total expenditure,10914,DOLLARS(millions),42,42
2099,2013,C,Manufacturing,b_1-5,Total expenditure,4170,DOLLARS(millions),43,43
